"Number","Line 1","Line 2","Line 3"
2863,"%s punches you for %d damage!","%s punches %s for %s damage!","Sarkhee lets out a wail before dying."
2864,"%s punches you for %d damage!","%s punches %s for %s damage!","Meia shrieks at you with her dying breath!"
2865,"secret path %s","secret path %s","secret path %s"
2866,"Blue lightning streaks out and sears your %sfoes for %d damage!","Blue lightning streaks out and sears you for %d damage!","Blue lightning streaks out, searing the room!"
2867,"The %s lashes you with a tendril for %d damage!","The %s lashes %s with a tendril for %s damage!","The stranglevine stops struggling, signaling its demise."
2868,"A frozen spike appears and impales %s for %d damage!","A frozen spike appears and impales you for %d damage!","A frozen spike appears and impales %s for %s damage!"
2869,"An %s shoots out and rots %s for %d damage!","An %s shoots out and rots you for %d damage!","An %s shoots out and rots %s for %s damage!"
2870,"You open your great maw!","The %s opens their great maw!","The %s opens their great maw!"
2871,"You shake and shiver!","%s shakes and shivers!","You are freezing!"
2872,"A massive boulder appears and crushes %s for %d damage!","A massive boulder appears and crushes you for %d damage!","A massive boulder appears and crushes %s for %s damage!"
2873,"A pillar of flame appears and scorches %s for %d damage!","A pillar of flame appears and scorches you for %d damage!","A pillar of flame appears and scorches %s for %s damage!"
2874,"A grey, hazy mist flows through the room!","A grey, hazy mist flows through the room!","A grey, hazy mist flows through the room!"
2875,,,"%s is encompassed in a protective shell!"
2876,"Your protective shell vanishes into nothing.",,"You are encompassed by a protective shell!"
2877,"You spike %s for %d damage!","You are stabbed by spikes for %d damage!","%s is spiked for %s damage!"
2878,"Your skin returns to normal.",,"Iron spikes protrude from your skin!"
2879,"Your blades slash %s for %d damage!","The blades slash you for %d damage!","The blades slash %s for %d damage!"
2880,,,"%s is encompassed by a sphere of blades!"
2881,"Your sphere disappears into thin air.",,"You are surrounded by a sphere of blades!"
2882,"A hellish storm of fire and brimstone scorches your %sfoes for %d damage!","A hellish storm of fire and brimstone scorches you for %d damage!","A hellish storm of fire and brimstone scorch the room!"
2883,"A %s hits %s","%s's %s hits you!","%s's %s hits %s!"
2884,"A %s sweeps through the room!","%s's %s sweeps through you!","%s's %s sweeps through the room!"
2885,"A massive blast of light sears your %sfoes for %d damage!","A massive blast of light sears you for %d damage!","A massive blast of light %ssears the room for %s damage!"
2886,"The traveler contorts and begins to grow fangs and fur!","The traveler contorts and begins to frow fangs and fur!","The traveler contorts and begins to grow fangs and fur!"
2887,"%s smashes you with his fist for %d damage!","%s smashes %s with his fist for %s damage!","The mighty creature roars with great fury and vanishes!"
2888,"miss","misses","misses"
2889,,,"The book abruptly turns to ash."
2890,"A massive wave appears from %s, announcing a massive sea creature!","The massive creature slips into the water, swimming to %s.",
2891,"The %s crushes you with its tentacle for %d damage!","The %s crushes %s with its tentacle for %s damage!","The squid retreats to the depths of the water."
2892,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The ghost cackles wickedly before vanishing into nothing!"
2893,"%s smashes you with its fists for %d damage!","%s smashes %s with its fists for %s damage!","The undead creature lets out a gurgling howl."
2894,"%s slashes you for %d damage!","%s slashes %s for %s damage!","The Dread Captain scowls at you before vanishing into ether."
2895,"The %s slashes at you for %d damage!","The %s slashes %s for %s damage!","The suit of armour clatters to the floor, but its sword remains!"
2896,,"The Scarecrow lets out a hideous screech!","The Scarecrow lets out a hideous screech!"
2897,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The skeleton grins at you wickedly before crumbling into dust."
2898,"You trip a wire and a massive axe blade cuts into you!","%s trips a wire and a massive axe blade cuts into them!","%s arrives walks in, badly wounded!"
2899,"Your sloppy attempts at disarming the trap fail, an axe slices into you!","%s messes up at disarming the trap and ends up with an axe in the back!",
2900,"A hail of arrows pierces you from behind!","A hail of arrows pierce %s from behind!","%s arrives with several arrows protruding from their back!"
2901,"Your hands fail you at disarming the trap and you trigger it instead!","%s fails disarming the trap and they trigger it instead!",
2902,"You look at something you stepped on, then look up as a log slams you!","%s steps on something and a log suddenly crashes into them!","%s stumbles in, battered and bruised."
2903,"You cut the wrong wire and a log slams into you!","%s does something wrong and looks up just as a log crashes into them!",
2904,"Two massive logs fly through the air and slam into you!","Two massive logs fly through the air and slam into %s!","%s walks in, dazed and bleeding!"
2905,"You are sucked in by the undertow, and find yourself elsewhere!","%s is suddenly sucked in by the undertow, vanishing into the murky water!",
2906,"You suddenly find your self aboard an ancient sea vessel!",,"%s just vanished with no trace!"
2907,,"A ghastly face comes out of the water and stares at you!","A ghastly face comes out of the water and stares at %s!"
2908,"You hop off the plank and fall into the water below!","%s hops off the plank and falls into the water below!",
2909,"A horde of severed heads descend upon you!","A horde of severed heads descend upon you!","A horde of severed heads descend upon you!"
2910,"You hear the cackling of an old crone far off.","You hear the cackling of an old crone far off.","You hear the cackling of an old crone far off."
2911,,,"A horde of pirates emerge from the murkey depths!"
2912,"You pry open the coffin and find...","%s pries open the coffin and finds...",
2913,"A monster inside!","A monster inside!","A monster inside!"
2914,"A horde of monsters burst out from the intrusion!","A horde of monsters burst out from the intrusion!","A horde of monsters burst out from the intrusion!"
2915,,,"The fisherman limply falls to the ground."
2916,"You struggle in the water, straining to keep afloat!",,
2917,"You pass your hand over the mask and invoke its power!",,"%s's mask glows softly!"
2918,"You tip the coffin over, only to find...","%s hazardly tips the coffin over, only to find...",
2919,"You attempt to pry open the coffin, but it doesn't budge.",,
2920,"A groaning crack in the silverwood tree yawns open!","A groaning crack in the silverwood tree yawns open!","A groaning crack in the silverwood tree yawns open!"
2921,"You see a large set of steps leading into the masoleum.","You see a large set of steps leading into the masoleum.",
2922,"%s smashes you with his fist for %d damage!","%s smashes %s with their fist for %s damage!","Jorah lets out a mighty roar before entering a portal and vanishing!"
2923,"Your halo vanishes!",,"A halo appears over your head!"
2924,"The clarity has vanished.",,"You have the clarity of an ordered mind."
2925,"A %s waddles in from %s.","A %s waddles off to %s.","The wild turkey gives chase with bloodshot eyes!"
2926,"Your hand glows with a golden aura, and you touch %s.","%s's hand glows with a golden aura, and they touch you.","%s's hand glows with a golden aura, and they touch %s."
2927,"The feeling subsides.",,"You are filled with a feeling of grace."
2928,"An unholy symbol springs from your fingers and burns %s for %d damage!","An unholy symbol springs forth and burns you for %d damage!","An unholy symbol springs forth and burns %s for %s damage!"
2929,"A symbol of power springs from your fingers and burns %s for %d damage!","A symbol of power springs forth and burns you for %d damage","A symbol of power springs forth and burns %s for %s damage!"
2930,"A crazed madman enters from the %s.","A crazed madman dashes off to the %s.","The madman chases you, foam spewing from his jowls!"
2931,"An armoured knight stomps in from %s.","An armoured knight stomps off to %s.",
2932,"A golem stomps in from %s with a thundering crash.","A golem stomps off to %s with a thundering crash.",
2933,"A deer prances in from %s.","A deer dashes off to %s.",
2934,"A huge warrior crashes in from %s.","A huge warrior crashes off to %s.",
2935,,,"The animated chains shatter, now a mass of rust and broken links."
2936,"The old man looks incredibly angry and hisses ""This is not what I want.""",,
2937,"You %s the energy from %s for %d damage!","%s %ss the energy from your body for %d damage!","%s %ss the energy from %s's body!"
2938,"%s %s you, but your armour deflects the blow!","%s %s %s, but %s armour deflects the blow!","%s %s you with their %s, but you dodge!"
2939,"%s %s %s with their %s, but %s dodges!","%s %s you with their %s!","%s %s %s with their %s!"
2940,"You climb up the mast of the ship.","%s climbs up the mast of the ship.","%s arrives from below, via the mast of the ship."
2941,"You climb down the mast of the ship.","%s climbs down the mast of the ship.","%s arrives from above, via the mast of the ship."
2942,"You jump off the plank and into the cold water below!","%s jumps off the plank and into the cold water below!","%s jumps off the plank and into the cold water below!"
2943,"You open the bloodwood chest and find...","%s opens the bloodwood chest and finds...",
2944,"claw|slice|rip","claws|slices|rips","claws|slices|rips"
2945,"You reach a book in one of the bookcases and find...","%s reaches for a book in one of the bookcases and finds...",
2946,"A book!","A book!",
2947,"An item!","An item!",
2948,"The feline takes the item from you, a broad smile on his face.",,
2949,"The witchunter frowns at you, ""Have you not the item?""",,
2950,,"%s appears in the room out of nowhere!",
2951,,,"The dwarf growls at you and dies."
2952,"The old man lets out a wicked cackle as you hand him his gift.","%s hands over the gift to the old man, he cackles almost wickedly.",
2953,"You open the coffin and a deadly mist appears from within!","%s opens the coffin and a deadly mist appears from within!",
2954,"The ghost shakes his head, ""Alas thou art not pure.""",,
2955,"The ghost shakes his head ""Alas thou hath not the strength""",,
2956,"A chill runs down your spine. Something is with you!","A chill runs down your spine. Something is with you!","A chill runs down your spine. Something is with you!"
2957,"The strong stench of rot fills your nostrils.",,
2958,"A far off scream can be heard from a tomb",,
2959,"Something crawls out of a nearby grave!",,
2960,"An eerie mist seeps up from the ground.",,
2961,"Whispering voices groan at you from nowhere.",,
2962,"You somehow resist the temptation to flee!",,
2963,"The bitter scent of evil is rich in the air.",,"The bitter scent of evil is rich in the air."
2964,"The trees creak towards you, almost with an awful yearning.",,"The trees creak towards you, almost with an awful yearning."
2965,"%s doesn't look so good.","Something has poisoned your mana!","%s doesn't look so good."
2966,"Rocks shred %s for %d damage!","Rocks shred you for %d damage!","Rocks shred %s for %s damage!"
2967,,,
2968,"The %s brutally bites you for %d damage!","The %s brutally bites %s for %s damage!","The undead spider gives a hellish shriek and vanishes!"
2969,"The %s jumps on you for %d damage!","The %s jumps on %s for %s damage!",
2970,,"The spider quickly wraps you in a sticky cocoon!","The spider quickly wraps %s in a sticky cocoon!"
2971,"You break free of the cocoon!",,"You are caught in a cocoon!"
2972,"You are caught in a cocoon!","%s struggles inside their cocoon!",
2973,"A strange gurgling is heard close by.",,"A strange gurgling is heard close by."
2974,"Some great beast howls in the distance.",,"Some great beast howls in the distance."
2975,"A sudden burst of wind blows down upon you.",,"A sudden burst of wind blows down upon you."
2976,"You hear faint whispering behind you.",,"You hear faint whispering behind you."
2977,,,"It feels like your party is plotting against you."
2978,"You almost lose your grip, you should have brought a rope!",,
2979,"You lose your grip and fall into the blackness!",,"%s loses their grip and falls into the blackness!"
2980,"You land with a bone crushing thud!",,"%s appears from above and lands with a bone crushing thud!"
2981,"She shakes her head in disgust, ""Do not continue to waste my time!""",,
2982,"You give the webbing to the old gypsy.","%s gives the webbing to the old gypsy.",
2983,"%s smashes you for %d damage!","%s smashes %s for %s damage!","The pastor throws up blood, failing to heal his fatal wounds."
2984,"The mystic glares at you, ""You don't have it, so you want to die then?!""",,
2985,"You hand the parchment to the Enigma Lord",,
2986,"You speak the correct answer and suddenly vanish!","%s speaks a phrase and suddenly vanishes!","%s speaks a phrase and suddenly vanishes!"
2987,"The flash dissipates and you are somewhere else.","A sudden flash blinds you and %s appears!","A sudden flash blinds you and %s appears!"
2988,"You arrive through the pool and find yourself somewhere else!","%s arrives from inside the pool!","%s arrives from inside the pool!"
2989,"A %s smites you with great fury!",,"%s is smitten by a %s!"
2990,"You jump into the pool!","%s jumps into the pool!",
2991,"You use your rope and climb into the pool!","%s takes their rope and climbs into the pool!",
2992,"say travel","say journey","say explore"
2993,"A sheet of ice slides open, revealing a hidden passage!","A sheet of ice slides open, revealing a hidden passage!","A sheet of ice slides open, revealing a hidden passage!"
2994,"hidden passage %s","hidden passage %s","hidden passage %s"
2995,"The pastor shakes his head, ""You are not blessed by Dawnstar.""",,
2996,"The pastor shakes his head, ""Don't waste an old man's time.""",,
2997,"Smiling the pastor places a glorious necklace around your neck.",,"Landor gives a glorious necklace to %s."
2998,"You hand the vile horn of the midnight unicorn to the pastor.",,"%s hands the horn of the midnight unicorn to the pastor."
2999,"The pastor smiles and hands you a glorious artifact.","The pastor smiles and hands %s a glorious artifact.","The pastor smiles and hands %s a glorious artifact."
3000,"Stake and hammer in hand, you slowly lift the coffin lid and...","Stake and hammer in hand, %s slowly lifts the coffin lid and...","Stake and hammer in hand, %s slowly lifts the coffin lid and..."
3001,"slay the vampire within!",,"slays the vampire within!"
3002,"You gain 10,000 experience points!",,
3003,"awaken the vampire within!",,"awakens the vampire within!"
3004,"find nothing inside.",,"finds nothing inside."
3005,"You found an exit %s!",,
3006,"A set of stone stairs appear in a section of the floor!","A set of stone stairs appear in a section of the floor!","A set of stone stairs appear in a section of the floor!"
3007,"secret stairs %s","secret stairs %s","secret stairs %s"
3008,"A set of stone stairs lower from the ceiling!","A set of stone stairs lower from the ceiling!","A set of stone stairs lower from the ceiling!"
3009,"twist hand","turn hand",
3010,"twist sword","move sword","turn sword"
3011,"You twist the sword around, and hear a small click.","%s twists the sword around, and you hear a small click.",
3012,"You press the button in the eye socket, and hear a far off click.","%s presses the button in the eye socket, and you hear a far off click.",
3013,"You turn the hand, and hear a small click.","%s turns the hand, and you hear a small click.",
3014,"You turn the hand, and hear a small hissing sound.","%s turns the hand, and you hear a small hissing sound.",
3015,"You twist the sword, and hear a small hissing sound.","%s twists the sword, and you hear a small hissing sound.",
3016,"Spikes shoot out of the walls, deeply gouging you!","Spikes shoot out of the walls, deeply gouging %s!","%s walks in, bleeding profusely!"
3017,"Your attempts to disarm the trap trigger it instead!","%s pathetic attempts at disarmament only result in triggering the trap!",
3018,"A wicked howl erupts the air, and a beast appears in answer!","A wicked howl erupts the air, and a beast appears in answer!","A wicked howl erupts the air, and a beast appears in answer!"
3019,"Your mana returns to normal.",,"Something has poisoned your mana!"
3020,"He shakes his head, ""Do not try to fool me.""",,
3021,"The yellow potion goes down with a revolting taste.",,"%s gets a sour face from drinking their yellow potion."
3022,"You quaff the crimson potion, it burns your throat going down!",,"%s lets out an agonizing cough as they drink the bubbling potion."
3023,"You choke and gag from swallowing the vile, oily potion.",,"%s chokes and gags from drinking an oily potion."
3024,"You drink the green potion and feel dizzy.",,"%s looks dizzy as they quaff a green potion."
3025,"You drink the bubbling potion and feel violently ill.",,"%s doesn't look so good."
3026,"You hurl the potion at %s!",,"%s throws a grey potion at %s!"
3027,"You quaff a brown potion and feel nothing.",,"%s quaffs a brown potion."
3028,"But you don't have a hammer!",,"%s tries to use their stake but the dummy forgot a hammer."
3029,"You raise the rainbow potion to your lips and...",,"%s quaffs the rainbow potion."
3030,,,"The torso falls apart into other pieces!"
3031,,,"The warlord howls in rage, and falls to the ground with a crash!"
3032,"A yellow cloud billows through the room!","A yellow cloud sweeps out of the room!",
3033,,,"The cloud disperses with a wail!"
3034,,,"The chilling cloud dissipates into nothing!"
3035,"You reach out and grab %s by the neck!","%s reaches out and grabs your neck!","%s reaches out and grabs %s's neck!"
3036,,,"In a flash of darkness the minion vanishes."
3037,,,"The waist is sliced in half, splitting its legs!"
3038,"A farm animal stumbles in from %s","A farm animal wanders off to %s",
3039,"The ghost hands you a weapon.",,"The ghost hands %s a weapon."
3040,"The ghost hands you a piece of armour.",,"The ghost hands %s a piece of armour."
3041,"You awaken from unnatural slumber.",,"You are lulled to sleep by a toxic fragerance!"
3042,,"The %s erupts in a huge explosion!",
3043,,,"With an animal roar, the beast lord falls to your feet in a bloody mess."
3044,"You %s gore and acid on %s for %d damage!","%s %ss gore and acid on you for %d damage!","%s %ss gore and acid on %s for %s damage!"
3045,"The bone portal swallows you up, and your life is sucked from your bones!","The bone portal devours %s, leaving no sign of them!",
3046,"A black landscape becomes your final destination.","%s appears in a bright flash!",
3047,"You renounce your past life, and begin the Life of Justice!",,
3048,"You renounce your past life, and begin a Life of Balance!",,
3049,"You renounce your past life, and begin a Life of Destruction!",,
3050,"The armour spikes stabs %s for %d damage!","The armour spikes stabs you for %d damage!","The armour spikes stabs %s for %d damage!"
3051,"The shield spike stabs %s for %d damage!","The shield spike stabs you for %d damage!","The shield spike stabs %s for %d damage!"
3052,"You open the warchest and find...","%s opens the warchest and finds...","%s opens the warchest and finds..."
3053,"Monsters appear, you've been caught in the act!","Monsters appear, you've been caught in the act!","Monsters appear, you've been caught in the act!"
3054,"The warlord stomps in from %s.","The warlord tramples off to %s.",
3055,"You raise your hammer high, and smash it into the ground!","%s raises their hammer high, and smashes it into the ground!","%s raises their hammer high, and smashes it into the ground!"
3056,"move jaw","lower jaw","drop jaw"
3057,"You move the jaw of the statue, and hear a small click.","%s moves the jaw of the statue, and you hear a small click.",
3058,"press l","push l",
3059,"press i","push i",
3060,"press f","push f",
3061,"press e","push e",
3062,"press g","push g",
3063,"press h","push h",
3064,"press t","push t",
3065,"press a","push a",
3066,"press n","push n",
3067,"press s","push s",
3068,"press w","push w",
3069,"press r","push r",
3070,"press d","push d",
3071,"A cruel wind blows in, bringing the taint of evil!","A cruel wind blows in, bringing the taint of evil!","A cruel wind blows in, bringing the taint of evil!"
3072,"A magical blast erupts, dazing your foes!","A magical blast erupts, dazing you!","A magical blast erupts, dazing the room!"
3073,"A spike shoots out from the button, stabbing your finger!",,"%s pulls their hand back in agony!"
3074,"You are not worthy enough to do that!",,
3075,"The hermit sneers at you, ""You can't serve your cause like that!""",,
3076,"It's knowledge devoured the feather vanishes from sight.",,
3077,"You use your %s and skewer %s for %d damage!","%s uses their %s and skewers you for %d damage!","%s uses their %s and skewers %s for %s damage!"
3078,"You raise your palm towards %s and make a clutching gesture!","%s raises their palm towards you and makes a clutching gesture!","%s raises their palm towards %s and makes a clutching gesture!"
3079,"A blistering jet of %s scorches %s for %d damage!","%s's blistering jet of %s scorches you for %d damage!","%s's blistering jet of %s scorches %s for %s damage!"
3080,"You slam %s into the ground!","You're slammed into the ground!","%s is slammed into the ground!"
3081,,,"You are rocked by the explosion!"
3082,"A cluster of vines swell from the ground, entangling your foes!","A cluster of vines swell from the ground!","A cluster of vines swell from the ground!"
3083,,,"The lizard stumbles to the ground with a loud crash!"
3084,,,"The lizard falls dead to the ground."
3085,,,"The lizard falls to the ground with a loud crash!"
3086,"You begin to chant in a fierce tone!","%s begins to chant in a fierce tone!","%s begins to chant in a fierce tone!"
3087,"A strange force rips into %s for %d damage!","A strange force rips into you for %d damage!","A strange force rips into %s for %s damage!"
3088,"You glow bright red and point a finger at %s!","%s glows bright red and points a finger at you!","%s glows bright red and points a finger at %s!"
3089,"You launch a massive ball of %ss at %s for %d damage!","%s launches a massive ball of %ss at you for %d damage!","%s launches a massive ball of %ss at %s for %s damage!"
3090,"A mocking female laugh announces an evil prescence!","A mocking female laugh announces an evil prescence!",
3091,,,"With a hideous shriek the demoness dies, turning to ash!"
3092,"sear|burn|blister","sears|burns|blisters","sears|burns|blisters"
3093,"A fire elemental appears and scorches %s for %d damage, then vanishes!","A fire elemental appears and scorches you for %d damage, then vanishes!","A fire elemental appears and scorches %s for %s damage, then vanishes!"
3094,"An ice elemental appears and freezes %s for %d damage, then vanishes!","An ice elemental appears and freezes you for %d damage, then vanishes!","An ice elemental appears and freezes %s for %s damage, then vanishes!"
3095,"A lightning elemental appears and fries %s for %d damage, then vanishes!","A lightning elemental appears and fries you for %d damage, then vanishes!","A lightning elemental appears and fries %s for %s damage, then vanishes!"
3096,"A stone elemental appears and crushes %s for %d damage, then vanishes!","A stone elemental appears and crushes you for %d damage, then vanishes!","A stone elemental appears and crushes %s for %s damage, then vanishes!"
3097,,,
3098,,,"With his dying breath the witchunter swings at you in vain."
3099,,,"A look of peace comes over the madman's face as he dies."
3100,,,"The druid grins, and prepares for battle!"
3101,,,"The druid bows and disappears into an elemental rift!"
3102,"You learn the power to summon a stone elemental in battle!",,
3103,"You learn the power to summon a fire elemental in battle!",,
3104,"You learn the power to summon a lightning elemental in battle!",,
3105,"You learn the power to summon an ice elemental in battle!",,
3106,"The large crack opens to reveal a secret passage!","The large crack opens to reveal a secret passage!","The large crack opens to reveal a secret passage!"
3107,,,"A massive flaming vortex opens up!"
3108,,,"The fire consumes you, charring your flesh!"
3109,"hurl your shuriken and strike","hurls a shuriken and strikes","hurls a shuriken and strikes"
3110,"The zombie explodes in a flurry of body parts!","The zombie explodes in a flurry of body parts!","The zombie explodes in a flurry of body parts!"
3111,"The body parts suddenly combust in a furious explosion!","The body parts suddenly combust in a furious explosion!","The body parts suddenly combust in a furious explosion!"
3112,"hurl your shuriken at","hurls their shuriken at","hurls their shuriken at"
3113,,,"The demon falls over dead with a loud thud!"
3114,"The tablet turns to dust as you learn the spell contained upon it.",,
3115,"The magma disappears without a trace as you learn its contents.",,
3116,"The metal sheet shatters as you commit its words to memory.",,
3117,"The orb liquifies in your hands as its power enters your mind.",,
3118,"You find yourself in a blazing inferno of hellfire!","%s appears in a bright fiery flash!",
3119,"You gaze into the eye of the catoblepas!",,"%s gazes into the eye of the catoblepas!"
3120,,,"The crazed priest howls in agony and bursts in to flame!"
3121,"He shakes his head at you, ""Stop playing tricks on an old man!""",,
3122,"He shakes his head at you, ""Bah yer wastin' me time!""",,
3123,"go fog","walk fog","enter fog"
3124,"You feel your way through the fog, and find a small tunnel.","%s pushes their way through the fog, vanishing into its embrace.","You see a dark shadow in the fog, and %s appears through it!"
3125,"pull left lever","move left lever","use left lever"
3126,"pull right lever","move right lever","use right lever"
3127,"You kneel before the altar...",,"%s kneels before the altar..."
3128,"Flame reaches out from the altar and encircles you...",,"Flames from the altar embrace them!"
3129,"The huge witchunter bellows, ""I've got no use for maggots like ye!""",,
3130,"A storm of raw energy blasts your %sfoes for %d damage!","A storm of raw energy blasts you for %d damage!","A storm of raw energy blasts the room!"
3131,"An amber aura rises from the ground and surrounds you!",,"An amber aura rises from the ground and surrounds %s!"
3132,"Your energies flow unbound.",,"Your energies are bound to the earth!"
3133,,,"The wicked old man is consumed in a torrent of dark flame!"
3134,"You enter the flaming portal, and fire consumes your flesh!","%s steps into the flaming portal, and vanishes!",
3135,"You feel as if the flame were devouring you, and then you are elsewhere.","With the stink of burnt flesh and sulphur %s appears!",
3136,"You counterstrike %s for %d damage!","A counterstrike at you does %d damage!","A counterstrike at %s does %d damage!"
3137,"A tentacle pierces your skin, enters your brain, and swiftly kills you!","A tentacle vanishes inside %s's head, and they fall dead.","A tentacle vanishes inside %s's head, and they fall dead."
3138,"You point your iron wand at %s!","%s points their iron wand at you!","%s points their iron wand at %s!"
3139,"You point your ruby staff at %s!","%s points their ruby staff at you!","%s points their ruby staff at %s!"
3140,"The shield spikes stab %s for %d damage!","The shield spikes stab you for %d damage!","The shield spikes stab %s for %d damage!"
3141,"You touch the rune upon your helm!",,"%s touches their hand to their helm!"
3142,,"A cluster of vines swell from the ground!",
3143,"You feel your very life crushed out of you!",,"%s is crushed by dark forces!"
3144,"You step near the portal, and are suddenly consumed by it!","%s is suddenly sucked into the portal without a sound!","%s is suddenly sucked into the portal without a sound!"
3145,"The aura of death enters the room!","The aura of death leaves the room!",
3146,,,"The lich cackles at you, and takes spirit form!"
3147,,,"The prisoner looks suddenly at peace, as their life escapes them."
3148,"You walk into the shreaded tapestry!",,"%s walks into the shreaded tapestry!"
3149,"You attempt to destroy the tapestry, but fail.","%s tries to destroy the tapestry but fails!",
3150,"You have gained 50,000,000 experience!",,
3151,"A fiery portal appears, and a monster springs forth!","A fiery portal appears, and a monster springs forth!","A fiery portal appears, and a monster springs forth!"
3152,"You step into the bloody portal, and become emersed in its warm embrace!","%s steps into the blood portal, and vanishes!",
3153,,,
3154,"A strange power holds you back!",,
3155,"You place the eyeball in the vacant socket!","%s places the eyeball in a vacant socket!",
3156,"With a disgusting squish the eyeball begins moving inside the socket.",,
3157,"You place the tongue inside the gaping hole!","%s places a tongue inside the gaping hole!",
3158,"A strange howl erupts from the hideous face!","A strange howl erupts from the hideous face!",
3159,"The hideous face vanishes, leaving a mirror in it's place!","The hideous face vanishes, leaving a mirror in it's place!",
3160,"A fungus suddenly explodes, and you inhale some spores!","A fungus suddenly explodes, and %s begins coughing uncontrollably!",
3161,"climb roots","climb root",
3162,"Grabbing a firm hold of the roots, you pull yourself through the hole.","%s grabs a handful of roots, and hauls themself through the hole above.","With a great noise, %s appears from under the rotted tree!"
3163,"You crawl into the slippery hole, and land with a great thud.","%s crawls through the slippery hole, and disappears under the tree.","With a great thud, %s falls through the hole above!"
3164,"That would be suicide without the proper equipment.",,
3165,"You scale the wall of the cracked tunnel, using your rope and grapple.","%s scales the wall of the cracked tunnel, using your rope and grapple.",
3166,"You fly through the darkness and land in a rocky cave on the other side!","%s suddenly appears in the cave entrance, landing with a thud!",
3167,"You fly through the darkness, crashing into the wall with a thud!",,
3168,"A storm of raw energy blasts your %sfoes for %d damage!","A storm of raw energy blasts you for %d damage!",
3169,"hurl your throwing hammer and strike","hurls a throwing hammer and strikes","hurls a throwing hammer and strikes"
3170,"hurl your throwing hammer at","hurls a throwing hammer at","hurls a throwing hammer at"
3171,,"An earthquake rocks you for %d damage!",
3172,,"The %s slams its tail into the ground!",
3173,"The %s grabs you for %d damage!","The %s grabs %s for %s damage!",
3174,,,"The prisoner howls with inhuman anger, and leaps into the air!"
3175,"move bookcase","push bookcase",
3176,"The %s disappears, then reappears and backstabs you for %d damage!","The %s disappears, then reappears and backstabs %s for %s damage!",
3177,"You ring the chime...","%s rings the chime...","%s rings the chime..."
3178,"move rubble","push rubble",
3179,"You push your way through the rubble, and make it to the other side.","%s walks into a pile of rubble.","%s enters from the pile of rubble."
3180,"A drawer slides out, and you discover a golden locket!","%s opens a drawer and discovers something golden inside!",
3181,"You hand the locket to the ghostly figure.","%s gives something to the ghostly figure.",
3182,,,
3183,,,"With a loud roar the bugbear falls to the ground!"
3184,,,"The wyvern lets out a high pitched roar, and crashes to the floor."
3185,"A horde of shrieking spirits ravages your %sfoe for %d damage!","A horde of shrieking spirits ravages you for %d damage!",
3186,,,"The combatant picks up his cloak and nods to you."
3187,"The %s backhands you for %d damage!","The %s backhands %s for %s damage!","The cloaked figure steps back, standing in a stance for battle."
3188,,"%s chuckles softly.","%s chuckles softly."
3189,,"%s glares at you!","%s glares at you!"
3190,"%s kicks you for %d damage!","%s kicks %s for %s damage!",
3191,"%s causes the room to explode around him!","%s causes the room to explode around him!","%s causes the room to explode around him!"
3192,"Using your willpower to over come its magic, you tear down the tapestry!","With a great heave %s tears down the tapestry!",
3193,"A great shriek echoes inside your ears, and the tapestry turns to shreads.",,
3194,"You %s a chair on %s for %d damage!","%s %ss a chair on you for %d damage!","%s %ss a chair on %s for %s damage!"
3195,"You tighten the noose around your own neck!",,"%s tightens the noose around their own neck!"
3196,,"%s throws a potion to the ground!",
3197,"The Enigma Lord snarls at you, ""You are too pure to be of use to me!""",,
3198,,,"The kai lord roars at you in anger, before disappearing into the shadows."
3199,,,"The skeletal bird drops to the ground, shattering into a pile of dust!"
3200,"A demonling flaps down from above!","The %s flies off to the %s.","The %s swoops after you!"
3201,,,"The tapestry lets out an agonizing wail and caves in on itself!"
3202,,"A hideous plague consumes you!",
3203,,"%s scatters some ashes in a sweeping motion!",
3204,,"%s makes a vile gesture and speaks in a guttural tongue!",
3205,,"A hellish storm of fire and brimstone scorches you for %d damage!",
3206,,"%s crosses their bracers!",
3207,,"%s crosses paired dragonblades and cuts through the air!",
3208,"You are embarassed to find you do not seem to have the locked wooden box.",,
3209,"You purify your body of poisons!",,"%s focuses their energy on purifying themself!"
3210,"The %s launches a massive boulder, which crushes you for %d damage!","The %s launches a massive boulder, which crushes %s for %s damage!",
3211,"The massive gate suddenly opens with a loud screech!","The massive gate suddenly opens with a loud screech!","The massive gate suddenly opens with a loud screech!"
3212,"You open the rock chest, and find...","%s opens the rock chest, and finds...",
3213,"You open the large chest, and find...","%s opens the large chest, and finds...",
3214,"You open the massive chest, and find...","%s opens the massive chest, and finds...",
3215,"The aged titan shakes his head, ""Ye be a few hides short.""",,
3216,"You hand your hides to the aged titan...",,
3217,"You hand your coins to the aged titan...",,
3218,"The aged titan shakes his head, ""Ye be a few coins short.""",,
3219,"The aged titan gathers the hides together, and begins his work...",,
3220,"With two massive hands, he patiently fashions the hides...",,
3221,"With a nod of satisfaction the aged titan hands you his finished work...",,
3222,"Martok growls angrily, ""Learn to count and don't waste my time!""",,
3223,"You hand your hides to the dwarven smith...",,
3224,"You hand Martok some coins...",,
3225,"With a toothy grin, Martok begins the task at hand...",,
3226,"With great skill and force Martok works the hides into a shape...",,
3227,"With a wink he hands you the newly formed armour...",,
